NO POLISI,NOPOL LAMA,OPD,NAMA PEMILIK,JENIS_KB,MEREK_KB,TYPE_KB,TAHUN_KB,NOKA,NOSIN,AKHIR_PKB,AKHIR_STNK,LOKASI,STATUS_KB,STATUS_TAGIHAN,KETERANGAN
KTVP 8083,KTV- 8474,PENGELOLA (BKAD),DISHUBBUDPAR,F,MAZDA,BT-50 DC 4X4 2.5 MT WLT HIGH,2009,MM6UNY0W4A0838303,WLAT1 114609,12/11/2024,12/11/2024,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTVP 8084, ,BADAN PENANGGULANGAN BENCANA DAERAH,BADAN PENANGGULANGAN BENCANA DAERAH KAB.,F,ISUZU,TFS6Y D-MAX DC 2.5L R1 (4X4) M/T,2019,MPATFS86JKT006549,TV2360,4/13/2027,4/13/2030,BADAN PENANGGULANGAN BENCANA DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 8085,KTV- 8027,SEKRETARIAT DPRD,SEKRETARIAT DPRD KAB. PPU,F,TOYOTA,HILUX PU 2.0 (TGN10R-TRMDKD),2009,MR0AW12G590017703,1TR-6792833,1/22/2027,1/22/2030,SEKRETARIAT DPRD,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3588,KTV- 3221,KETAHANAN PANGAN,KANTOR KETAHANAN PANGAN DAN PENYULUHAN,R,YAMAHA,3C1 (V-IXION/FZ150),2012,MH33C1205CK052413,3C1-1052220,12/19/2025,12/19/2027,KETAHANAN PANGAN,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 8087,,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU,DINAS PENANAMAN MODAL DAN PELAYANAN TERP,F,TOYOTA,HILUX 2.4V DOUBLE CABIN 4X4 A/T,2020,MR0HB3CD9L0333834,2GD-4805230,6/26/2027,6/26/2030,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU ,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 8089,KTV- 8039,"DINAS PERUMAHAN, KAWASAN PERMUKIMAN DAN PERTANAHAN",DINAS PU BID.KEBERSIHAN DAN PERTAMANAN P,F,TOYOTA,HILUX PU 2.0 (TGN10R-TRMDKD),2010,MROAW1264AOO24422,1TR-7008349,2/23/2027,2/23/2031,DINAS PERUMAHAN KAWASAN PERMUKIMAN DAN PERTAMANAN,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 8092,B TSC9198,BADAN PENANGGULANGAN BENCANA DAERAH,BADAN PENANGGULANGAN BENCANA DAERAH,F,ISUZU,TFS6Y D-MAX RODEO 2.5L (4X4) M/T,2015,MPATFS86JFT011276,MW3678,7/6/2027,7/6/2030,BADAN PENANGGULANGAN BENCANA DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 8093,B TTA9326,BADAN PENANGGULANGAN BENCANA DAERAH,BPBD,F,MITSUBISHI,L300 PU FB-R (4X2) MT,2017,MK2L0PU39HK014168,4D56CRX2861,7/27/2027,7/27/2030,BADAN PENANGGULANGAN BENCANA DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3664,KTV- 3217,KETAHANAN PANGAN,KANTOR KETAHANAN PANGAN DAN PENYULUHAN,R,YAMAHA,1 DY,2012,MH31DY001CJ030927,1DY-030923,12/19/2025,12/19/2027,KETAHANAN PANGAN,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 8095,KTV- 8034,DINAS KESEHATAN,DINAS KESEHATAN KAB.PENAJAM PASER UTARA,F,TOYOTA,HILUX PU 2.0 (TGN10R-TRMDKD),2010,MR0AW12G4A0020595,1TR-6877054,10/22/2026,10/22/2030,DINAS KESEHATAN,BAIK,AKTIF,TERCATAT DI BKAD
