NO POLISI,NOPOL LAMA,OPD,NAMA PEMILIK,JENIS_KB,MEREK_KB,TYPE_KB,TAHUN_KB,NOKA,NOSIN,AKHIR_PKB,AKHIR_STNK,LOKASI,STATUS_KB,STATUS_TAGIHAN,KETERANGAN
KTV  3183,KTVP 4107,DINAS PERTANIAN,DP3K,R,HONDA,NF 11A1C MT,2010,MH1JBB114AK291801,JBB1E-1281925,11/10/2026,11/10/2030,DINAS PERTANIAN,BAIK,AKTIF,TERCATAT DI BKAD
KTV  3184,KTVP 4087,BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA,DP3K,R,HONDA,GL160 D,2010,MH1KC1116AK256172,KC11E-1257790,11/10/2026,11/10/2030, BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA,BAIK,AKTIF,TERCATAT DI BKAD
KTV  3203,KTVP 4109,SATUAN POLISI PAMONG PRAJA,SATUAN POLISI PAMONG PRAJA KABUPATEN PEN,R,HONDA,T4G02T31L0 M/T,2020,MH1KD1110LK160747,KD11E-1160053,11/9/2026,11/9/2030,SATPOL PP,BAIK,AKTIF,TERCATAT DI BKAD
KTV  3204,KTVP 4115,SATUAN POLISI PAMONG PRAJA,SATUAN POLISI PAMONG PRAJA KABUPATEN PEN,R,HONDA,T4G02T31L0 M/T,2020,MH1KD1118LK160267,KD11E-1159601,11/9/2026,11/9/2030,SATPOL PP,BAIK,AKTIF,TERCATAT DI BKAD
KTV  3205,KTVP 4113,SATUAN POLISI PAMONG PRAJA,SATUAN POLISI PAMONG PRAJA KABUPATEN PEN,R,HONDA,T4G02T31L0 MT,2020,MH1KD1118LK160754,KD11E-1160056,11/9/2026,11/9/2030,SATPOL PP,BAIK,AKTIF,TERCATAT DI BKAD
KTV  3206,KTVP 4110,SATUAN POLISI PAMONG PRAJA,SATUAN POLISI PAMONG PRAJA KABUPATEN PEN,R,HONDA,T4G02T31L0 MT,2020,MH1KD1116LK159800,KD11E-1158396,11/9/2026,11/9/2030,SATPOL PP,BAIK,AKTIF,TERCATAT DI BKAD
KTV  3207,KTVP 4112,SATUAN POLISI PAMONG PRAJA,SATUAN POLISI PAMONG PRAJA KABUPATEN PEN,R,HONDA,T4G02T31L0 M/T,2020,MH1KD1119LK160293,KD11E-1159591,11/9/2026,11/9/2030,SATPOL PP,BAIK,AKTIF,TERCATAT DI BKAD
KTV  3208,KTVP 3452,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU,BP2TPM,R,YAMAHA,2 TP,2015,MH3RG1810FK140600,G3E7E0141590,12/28/2026,12/28/2030,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU ,BAIK,AKTIF,TERCATAT DI BKAD
KTV  3209,KTVP 3453,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU,BP2TPM,R,YAMAHA,2SX,2015,MH3SE9010FJ142651,E3R4E0162546,12/28/2026,12/28/2030,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU ,BAIK,AKTIF,TERCATAT DI BKAD
KTV  3210,KTVP 4060,KECAMATAN SEPAKU,KANTOR KECAMATAN SEPAKU,R,HONDA,NF 11B1D MT,2010,MH1JBC115AK787258,JBC1E-1785256,5/12/2026,5/12/2030,KECAMATAN SEPAKU,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTV  3211,KTVP 4116,DINAS LINGKUNGAN HIDUP,KANTOR LINGKUNGAN HIDUP KAB. PPU,R,HONDA,GL160 D,2010,MH1KC1219AK255631,KC-12E-1253502,12/30/2026,12/30/2030,DINAS LINGKUNGAN HIDUP,BAIK,AKTIF,TERCATAT DI BKAD
KTV  3212,KTVP 3449,DINAS LINGKUNGAN HIDUP,DINAS KEBERSIHAN PERTAMANAN DAN PEMAKAMA,R,YAMAHA,2 TP,2015,MH3RG1810FK125238,G3E7E0126246,12/18/2026,12/18/2030,DINAS LINGKUNGAN HIDUP,BAIK,AKTIF,TERCATAT DI BKAD
KTV  3213,KTVP 4117,DINAS LINGKUNGAN HIDUP,KANTOR LINGKUNGAN HIDUP KAB. PPU,R,HONDA,NF125 TR,2010,MH1JB912XAK137028,JB91E-2130763,12/30/2026,12/30/2030,DINAS LINGKUNGAN HIDUP,BAIK,AKTIF,TERCATAT DI BKAD
KTV  3214,KTVP 3448,DINAS LINGKUNGAN HIDUP,DINAS KEBERSIHAN PERTAMANAN DAN PEMAKAMA,R,YAMAHA,2 TP,2015,MH3RG1810FK125581,G3E7E0127558,12/18/2026,12/18/2030,DINAS LINGKUNGAN HIDUP,BAIK,AKTIF,TERCATAT DI BKAD
KTV  3215,KTVP 4136,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,DINAS PEKERJAAN UMUM,R,YAMAHA,1S7 JUPITER-MX 135 cc,2010,MH31S7006AK630937,1S7-630988,12/23/2026,12/23/2030,DINAS PU DAN PENATAAN RUANG,BAIK,AKTIF,TERCATAT DI BKAD
KTV  3216,KTVP 4077,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,DINAS PEKERJAAN UMUM,R,HONDA,GL160 D,2010,MH1KC1116AK267351,KC11E-1268803,8/6/2026,8/6/2030,DINAS PU DAN PENATAAN RUANG,BAIK,AKTIF,TERCATAT DI BKAD
KTV  3218,KTVP 4139,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,DINAS PEKERJAAN UMUM,R,YAMAHA,1S7 JUPITER-MX 135 cc,2010,MH31S7006AK631393,1S7-631295,12/23/2026,12/23/2030,DINAS PU DAN PENATAAN RUANG,BAIK,AKTIF,TERCATAT DI BKAD
KTV  3219,KTVP 4172,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,R,KAWASAKI,LX150G,2020,MH4LX150GLJP85401,LX150CEWM2979,12/22/2026,12/22/2030,DINAS PU DAN PENATAAN RUANG,BAIK,AKTIF,TERCATAT DI BKAD
KTV  3220,KTVP 3447,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,DINAS PEKERJAAN UMUM,R,YAMAHA,2 TP,2015,MH3RG1810FK140909,G3E7E0140712,12/14/2026,12/14/2030,DINAS PU DAN PENATAAN RUANG,BAIK,AKTIF,TERCATAT DI BKAD
KTV  3221,KTVP 4138,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,DINAS PEKERJAAN UMUM,R,HONDA,GL160 D,2009,MH1KC12119K189118,KC12E-1188676,12/2/2026,12/2/2030,DINAS PU DAN PENATAAN RUANG,BAIK,AKTIF,TERCATAT DI BKAD
KTV  3226,KTVP 4134,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,DINAS KEHUTANAN DAN PERKEBUNAN KAB. PPU,R,HONDA,GL 15 A1 RR MT,2010,MH1KC3115AK027669,KC31E-1027716,12/21/2026,12/21/2030,DINAS PU DAN PENATAAN RUANG,BAIK,AKTIF,TERCATAT DI BKAD
KTV  3228,KTVP 3432,SEKRETARIAT DAERAH,SEKRETARIAT DAERAH,R,YAMAHA,2UP,2015,MH3RG1910FK007183,G3E8E0007114,11/20/2026,11/20/2030,SEKRETARIAT DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTV  3236,KTVP 3439,DINAS KEBUDAYAAN DAN PARIWISATA,KELURAHAN NENANG,R,YAMAHA,UE11 CAST WHEEL,2015,MH3UE1120FJ048680,E3R5E0050586,12/3/2026,12/3/2030,DINAS KEBUDAYAAN DAN PARIWISATA,BAIK,AKTIF,TERCATAT DI BKAD
KTV  3239,KTVP 4142,INSPEKTORAT DAERAH,INSPEKTORAT KAB. PPU,R,HONDA,GL 15 A1 RR MT,2010,MH1KC3112AK028763,KC31E-1028808,1/12/2027,1/12/2031,INSPEKTORAT DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTV  3242,KTVP 4148,BADAN KEUANGAN DAN ASET DAERAH,SEKRETARIAT DAERAH PENAJAM PASER UTARA,R,SUZUKI,FL 125 RCD,2010,MH8BF45DAAJ310380,F496-ID-384891,12/29/2026,12/29/2030,BADAN KEUANGAN DAN ASET DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 4099,KTV- 2874,"DINAS KOPERASI, UKM, PERINDUSTRIAN DAN PERDAGANGAN",DINAS KOP UKM PERINDUSTRIAN DAN PERDAGAN,R,HONDA,GL160 D,2010,MH1KC1214AK258159,KC12E-1256039,9/27/2025,9/27/2025,DINAS KOPERASI & UKM,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTV  3254,KTVP 3749,DINAS KOMUNIKASI DAN INFORMATIKA,DINAS PERHUBUNGAN KEBUDAYAAN PARIWISATA,R,SUZUKI,FL 125 RCD,2010,MH8BF45DAAJ308261,F496-ID-382567,12/29/2026,12/29/2030,"DINAS KOMUNIKASI DAN INFORMATIKA, STATISTIK DAN PERSANDIAN",BAIK,AKTIF,TERCATAT DI BKAD
KTV  3255,KTVP 4146,DINAS KOMUNIKASI DAN INFORMATIKA,DINAS PERHUBUNGAN KEBUDAYAAN PARIWISATA,R,SUZUKI,FL 125 RCD,2010,MH8BF45DAAJ308317,F496-ID-382730,12/29/2026,12/29/2030,"DINAS KOMUNIKASI DAN INFORMATIKA, STATISTIK DAN PERSANDIAN",BAIK,AKTIF,TERCATAT DI BKAD
KTV  3256,KTVP 3463,SEKRETARIAT DAERAH,RUTIN SEKRETARIAT DAERAH KAB.PPU,R,YAMAHA,SE88,2015,MH3SE8810FJ289684,E3R2E0304654,1/11/2027,1/11/2031,SEKRETARIAT DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTV  3257,KTVP 3462,SEKRETARIAT DAERAH,RUTIN SEKRETARIAT DAERAH KAB.PPU,R,YAMAHA,SE 88,2015,MH3SE8810FJ382959,E3R2E0406962,1/11/2027,1/11/2031,SEKRETARIAT DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTV  3260,KTV- 3260,PENGELOLA (BKAD),KANTOR LURAH JENEBORA,R,KAWASAKI,LX150D (D TRACKER),2012,MH4LX150DCKP15067,LX150CEP97046,1/17/2025,1/17/2023,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTV  3261,KTVP 4081,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DISDIKPORA PPU,R,HONDA,NF 11B1D MT,2009,MH1JBC11X9K180526,JBC1E-1180731,2/11/2027,2/11/2030,DISDIKPORA,BAIK,AKTIF,TERCATAT DI BKAD
KTV  3264,KTVP 3417,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DINAS PENDIDIKAN PEMUDA DAN OLAHRAGA PPU,R,YAMAHA,1 PA,2015,MH31PA004FK868055,1PA867639,9/10/2026,9/10/2030,DISDIKPORA,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTV  3265,KTVP 4145,"DINAS PERUMAHAN, KAWASAN PERMUKIMAN DAN PERTANAHAN",SEKRETARIAT DAERAH,R,YAMAHA,2UP,2015,MH3RG1910FK007188,G3E8E0007198,11/20/2026,11/20/2030,DINAS PERUMAHAN KAWASAN PERMUKIMAN DAN PERTAMANAN,BAIK,AKTIF,TERCATAT DI BKAD
KTV  3266, ,"DINAS KOPERASI, UKM, PERINDUSTRIAN DAN PERDAGANGAN","DINAS KOPERASI, UKM, PERINDUSTRIAN DAN P",R,HONDA,H1B02N42L1 A/T,2025,MH1JMF114SK346573,JMF1E1346394,12/19/2026,12/19/2030,DISKUKMPERINDAG,BAIK,AKTIF,TERCATAT DI BKAD
KTV  3267,KTVP 3416,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DINAS PENDIDIKAN PEMUDA DAN OLAHRAGA PPU,R,YAMAHA,1 PA,2015,MH31PA004FK868079,1PA867483,9/10/2026,9/10/2030,DISDIKPORA,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTV  3268,KTVP 4214,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DINAS PENDIDIKAN PEMUDA DAN OLAHRAGA,R,HONDA,NF 11B1D M/T,2010,MH1JBC126AK013626,JBC1E-2021431,1/19/2027,1/19/2031,DISDIKPORA,BAIK,AKTIF,TERCATAT DI BKAD
KTV  3269,KTVP 3675,DINAS PERTANIAN,DINAS KEHUTANAN DAN PERKEBUNAN KAB. PPU,R,HONDA,NF125 TR,2010,MH1JB9120AK022096,JB91E-2013609,12/21/2026,12/21/2030,DINAS PERTANIAN,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTV  3614,KTVP 4188,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DINAS PENDIDIKAN PEMUDA DAN OLAHRAGA,R,HONDA,NF 11B1D MT,2010,MH1JBC125AK186392,JBC1E-1981578,1/19/2027,1/19/2031,DISDIKPORA,BAIK,AKTIF,TERCATAT DI BKAD
KTV  3624,KTVP 3464,DINAS PERTANIAN,KANTOR KET.PANGAN DAN PENYULUHAN,R,YAMAHA,2UP,2015,MH3RG1910FK007196,G3E8E0007202,1/11/2027,1/11/2031,DINAS PERTANIAN,BAIK,AKTIF,TERCATAT DI BKAD
KTV  4050,KTV- 4050,PENGELOLA (BKAD),DINAS PERTANIAN PEMKAB.P.P.U,R,HONDA,WIN (MCB),2003,MHIHABD153K028510,HABDE - 1027935,2/16/2025,2/16/2024,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTV  4060,KTVP 4194,DINAS PERTANIAN,DPK KAB. PPU,R,HONDA,NC110A1C AT,2010,MH1JF8110AK089514,JF81E-1092191,1/20/2027,1/20/2031,DINAS PERTANIAN,BAIK,AKTIF,TERCATAT DI BKAD
KTV  4064,KTVP 3827,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DINAS PENDIDIKAN PEMUDA DAN OLAHRAGA,R,HONDA,NF 11B1D M/T,2010,MH1JBC121AK142437,JBC1E-2147000,1/19/2027,1/19/2031,DISDIKPORA,BAIK,AKTIF,TERCATAT DI BKAD
KTV  4066,KTVP 4169,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DISDIKPORA KAB. PPU,R,HONDA,NF 11B1D MT,2010,MH1JBC120AK073658,JBC1E-2078525,1/19/2027,1/19/2031,DISDIKPORA,BAIK,AKTIF,TERCATAT DI BKAD
KTV  4131,KTVP 4240,DINAS PERTANIAN,DINAS KEHUTANAN DAN PERKEBUNAN KAB. PPU,R,KAWASAKI,LX150C (KLX 150S),2010,MH4LX150CAKP19239,LX150CEP27738,1/13/2027,1/13/2031,DINAS PERTANIAN,BAIK,AKTIF,TERCATAT DI BKAD
KTV  4139, ,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA KA,R,YAMAHA,BEJ-C A/T,2025,MH3SEJ740SJ147585,E33WE0578109,1/28/2027,1/28/2031,DISDIKPORA,BAIK,AKTIF,TERCATAT DI BKAD
KTV  4161,KTVP 4192,DINAS PERTANIAN,DP3K KAB. PPU,R,HONDA,GL 15 A1 RR MT,2010,MH1KC311XAK014397,KC31E-1013251,1/20/2027,1/20/2031,DINAS PERTANIAN,BAIK,AKTIF,TERCATAT DI BKAD
KTV  4236,KTVP 4187,RSUD RATU AJI PUTRI BOTUNG,RSUD PPU,R,HONDA,NF 11B1D MT,2010,MH1JBC120AK163151,JBC1E-2165481,1/20/2027,1/20/2031,RSUD,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTV  4303,KTV- 4303,PENGELOLA (BKAD),DINAS PERTANIAN,R,HONDA,GLP III SPORT,2005,MH1KEHL135K164054,KEHLE - 1163022,2/23/2026,2/23/2026,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTV  4304,KTVP 4195,RSUD RATU AJI PUTRI BOTUNG,RSUD PPU,R,HONDA,NF 11B1D M/T,2010,MH1JBC125AK163100,JBC1E-2165523,1/20/2027,1/20/2031,RSUD,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTV  4305,KTVP 4215,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,DISHUTBUN KAB. PPU,R,KAWASAKI,LX150C (KLX 150S),2010,MH4LX150CAKP20711,LX150CEP31014,1/13/2027,1/13/2031,DINAS PU DAN PENATAAN RUANG,BAIK,AKTIF,TERCATAT DI BKAD
KTV  4307,KTV- 4307,PENGELOLA (BKAD),DINAS KESEHATAN,R,HONDA,NF100 SL,2006,MH1HB31186K606479,HB31E - 1607422,1/15/2026,1/15/2027,PENGELOLA,BAIK,AKTIF,TERCATAT DI BKAD
KTV  4308,KTVP 4206,"BADAN PERENCANAAN, PENELITIAN DAN PENGEMBANGAN",BAPPEDA PPU,R,HONDA,GL15A1D MT,2010,MH1KC2112AK011553,KC21E-1011532,1/12/2027,1/12/2031,"BADAN PERENCANAAN, PENELITIAN DAN PENGEMBANGAN",BAIK,AKTIF,TERCATAT DI BKAD
KTV  4309,KTV- 4309,PENGELOLA (BKAD),DINAS KESEHATAN,R,HONDA,NF100 SL,2006,MH1HB31146K606494,HB31E - 1607470,1/15/2026,1/15/2027,PENGELOLA,BAIK,AKTIF,TERCATAT DI BKAD
KTV  4310,KTVP 4204,"BADAN PERENCANAAN, PENELITIAN DAN PENGEMBANGAN",BAPPEDA PPU,R,HONDA,GL15A1D MT,2010,MH1KC2113AK009133,KC21E-1009170,1/12/2027,1/12/2031,"BADAN PERENCANAAN, PENELITIAN DAN PENGEMBANGAN",BAIK,AKTIF,TERCATAT DI BKAD
KTV  4311,KTVP 4203,"BADAN PERENCANAAN, PENELITIAN DAN PENGEMBANGAN",BAPPEDA PPU,R,HONDA,GL15A1D MT,2010,MH1KC2116AK010907,KC21E-1010760,1/12/2027,1/12/2031,"BADAN PERENCANAAN, PENELITIAN DAN PENGEMBANGAN",BAIK,AKTIF,TERCATAT DI BKAD
KTV  4316,KTVP 4205,"BADAN PERENCANAAN, PENELITIAN DAN PENGEMBANGAN",BAPPEDA PPU,R,HONDA,GL15A1D MT,2010,MH1KC2118AK009094,KC21E-1009120,1/12/2027,1/12/2031,"BADAN PERENCANAAN, PENELITIAN DAN PENGEMBANGAN",BAIK,AKTIF,TERCATAT DI BKAD
KTV  4318,KTVP 3445,KELURAHAN BULUMINUNG,KANTOR KELURAHAN BULUMINUNG,R,YAMAHA,2 TP,2015,MH3RG1810FK136428,G3E7E0138268,12/8/2026,12/8/2030,KELURAHAN BULUMINUNG,BAIK,AKTIF,TERCATAT DI BKAD
KTV  4321,KTVP 4201,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DISDIKPORA KAB. PPU,R,HONDA,NF 11B1D MT,2010,MH1JBC114AK838202,JBC1E-1839208,2/16/2027,2/16/2031,DISDIKPORA,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTV  4322,KTVP 4185,DINAS PERHUBUNGAN,DINAS PERHUBUNGAN KABUPATEN PENAJAM PASE,R,YAMAHA,2DP R A/T,2020,MH3SG3192LJ009553,G3E4E2063691,1/6/2027,1/6/2031,DINAS PERHUBUNGAN,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTV  4323,KTVP 4183,DINAS PERHUBUNGAN,DINAS PERHUBUNGAN KABUPATEN PENAJAM PASE,R,YAMAHA,B5D A/T,2020,MH3SEF510LJ084677,E31WE0088293,1/6/2027,1/6/2031,DINAS PERHUBUNGAN,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTV  4324,KTVP 4184,DINAS PERHUBUNGAN,DINAS PERHUBUNGAN KABUPATEN PENAJAM PASE,R,YAMAHA,B5D A/T,2020,MH3SEF510LJ094258,E31WE0100753,1/6/2027,1/6/2031,DINAS PERHUBUNGAN,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTV  4328,KTVP 4182,DINAS PERHUBUNGAN,DINAS PERHUBUNGAN KABUPATEN PENAJAM PASE,R,YAMAHA,B5D A/T,2020,MH3SEF510LJ094350,E31WE0100843,1/6/2027,1/6/2031,DINAS PERHUBUNGAN,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTV  4329,KTVP 4211,DINAS KESEHATAN,DINAS KESEHATAN PENAJAM PASER UTARA,R,YAMAHA,T 105 ERD (VEGA DB),2005,MH34ST2105K058158,4ST-1417304,2/27/2027,2/27/2031,DINAS KESEHATAN PKM PETUNG,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTV  4330,KTVP 4620,DINAS KESEHATAN,DINAS KESEHATAN PENAJAM PASER UTARA,R,YAMAHA,T 105 ERD (VEGA DB),2005,MH34ST2105K055343,4ST-1414447,2/27/2027,2/27/2031,DINAS KESEHATAN PKM PENAJAM,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTV  4332,KTVP 4190,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DISDIKPORA KAB. PPU,R,HONDA,NF 11B1D MT,2010,MH1JBC110AK831327,JBC1E-1775142,1/19/2027,1/19/2031,DISDIKPORA,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTV  4335,KTVP 4209,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DISDIKPORA KAB. PPU,R,HONDA,NF 11B1D MT,2010,MH1JBC114AK676345,JBC1E-1668724,2/16/2027,2/16/2031,DISDIKPORA,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTV  4339,KTV- 4339,PENGELOLA (BKAD),DINAS PERTANIAN,R,HONDA,NF100 SL,2006,MH1HB31146K539072,HB31E - 1533845,1/15/2025,1/15/2022,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTV  4349,KTVP 4101,SATUAN POLISI PAMONG PRAJA,KANTOR SATPOL PP KAB. PPU,R,HONDA,NF125 TD,2010,MH1JB8118AK562281,JB81E-1557604,8/23/2027,8/23/2030,SATPOL PP,BAIK,AKTIF,TERCATAT DI BKAD
KTV  4362,KTVP 3471,SEKRETARIAT DAERAH,KANTOR SEKRETARIAT DAERAH KAB.PPU,R,KAWASAKI,LX150G,2015,MH4LX150GFJ03592,LX150CEPN6154,3/24/2027,3/24/2031,SEKRETARIAT DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTV  4363,KTV- 4363,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",PEMKAB PPU,R,HONDA,NF100 SL,2006,MH1HB31196K617572,HB31E - 1612199,1/24/2026,1/24/2027,DISDIKPORA,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTV  4364,KTVP 3468,SEKRETARIAT DAERAH,KANTOR SEKRETARIAT DAERAH KAB.PPU,R,KAWASAKI,LX150G,2015,MH4LX150GFJP07504,LX150CEPP4769,3/24/2027,3/24/2031,SEKRETARIAT DAERAH,RUSAK BERAT,TIDAK AKTIF,RUSAK BERAT
KTV  4369,KTVP 3470,SEKRETARIAT DAERAH,KANTOR SEKRETARIAT DARAH KAB.PPU,R,KAWASAKI,LX150F,2015,MH4LX150FFJP08414,LX150CEPR9384,3/24/2027,3/24/2031,SEKRETARIAT DAERAH,RUSAK BERAT,TIDAK AKTIF,RUSAK BERAT
KTV  4372,KTVP 3469,SEKRETARIAT DAERAH,KANTOR SEKRETARIAT DAERAH KAB.PPU,R,KAWASAKI,LX150G,2015,MH4LX150GFJP05474,LX150CEPP0457,3/24/2027,3/24/2031,SEKRETARIAT DAERAH,RUSAK BERAT,TIDAK AKTIF,RUSAK BERAT
KTV  4379,KTVP 4041,KECAMATAN BABULU,KANTOR CAMAT BABULU,R,KAWASAKI,LX150E CKD,2014,MH4LX150EEJP12550,LX150CEPJ9776,3/17/2027,3/17/2030,KECAMATAN BABULU,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTV  4383,KTVP 4196,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DINAS PENDIDIKAN PEMUDA DAN OLAHRAGA,R,HONDA,NF 11B1D M/T,2010,MH1JBC113AK787095,JBC1E-1783479,1/19/2027,1/19/2031,DISDIKPORA,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTV  4389,KTVP 3414,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DINAS PENDIDIKAN PEMUDA DAN OLAHRAGA PPU,R,YAMAHA,1 PA,2015,MH31PA004FK829594,1PA829328,9/10/2026,9/10/2030,DISDIKPORA,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTV  4390,KTVP 3895,KELURAHAN PENAJAM,KELURAHAN PENAJAM,R,YAMAHA,14D (AL115C/MIO SOUL),2011,MH314D204BK153623,14D-1153513,7/1/2027,7/1/2031,KELURAHAN PENAJAM,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTV  4391,KTVP 4156,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DINAS PENDIDIKAN PEMUDA DAN OLAHRAGA,R,HONDA,NF 11B1D MT,2010,MH1JBC124AK037441,JBC1E-2039018,1/19/2027,1/19/2031,DISDIKPORA,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTV  4393,KTVP 4588,BADAN PENDAPATAN DAERAH,DINAS PENDAPATAN DAERAH PPU,R,HONDA,GL15A1D MT,2011,MH1KC218BK026897,KC21E-1026837,7/12/2027,7/12/2031,BADAN PENDAPATAN DAERAH,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTV  4651,KTVP 3475,"DINAS PEMBERDAYAAN PEREMPUAN, PERLINDUNGAN ANAK, PENGENDALIAN PENDUDUK DAN KELUARGA BERENCANA",BENDAHARA KANTOR KB DAN PP,R,YAMAHA,1FDC CAST WHEEL,2016,MH3UE1210GJ010855,E3R8E0028559,7/15/2027,7/15/2031,"DINAS PEMBERDAYAAN PEREMPUAN, PERLINDUNGAN ANAK, PENGENDALIAN PENDUDUK & KELUARGA BERENCANA",BAIK,AKTIF,TIDAK ADA KETERANGAN
KTV  4660,KTVP 4265,BADAN KEUANGAN DAN ASET DAERAH,DINAS PENDAPATAN DAERAH PPU,R,HONDA,NF 11A1C M/T,2011,MH1JBB210BK086069,JBB2E-1089040,7/12/2027,7/12/2031,BADAN KEUANGAN DAN ASET DAERAH,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTV  4745,KTVP 3476,"DINAS PEMBERDAYAAN PEREMPUAN, PERLINDUNGAN ANAK, PENGENDALIAN PENDUDUK DAN KELUARGA BERENCANA",BENDAHARA KANTOR KB DAN PP,R,YAMAHA,1FDC CAST WHEEL,2016,MH3UE1210GJ010871,E3R8E0028578,7/15/2027,7/15/2031,"DINAS PEMBERDAYAAN PEREMPUAN, PERLINDUNGAN ANAK, PENGENDALIAN PENDUDUK & KELUARGA BERENCANA",BAIK,AKTIF,TIDAK ADA KETERANGAN
KTV  4771,KTVP 3477,"DINAS PEMBERDAYAAN PEREMPUAN, PERLINDUNGAN ANAK, PENGENDALIAN PENDUDUK DAN KELUARGA BERENCANA",BENDAHARA KANTOR KB DAN PP,R,YAMAHA,1FDC CAST WHEEL,2016,MH3UE1210GJ006832,E3R8E0018105,7/15/2027,7/15/2031,"DINAS PEMBERDAYAAN PEREMPUAN, PERLINDUNGAN ANAK, PENGENDALIAN PENDUDUK & KELUARGA BERENCANA",BAIK,AKTIF,TIDAK ADA KETERANGAN
KTV  7003,KTV- 7003,PENGELOLA (BKAD),PEMKAB KAB PPU,D,ISUZU,NHR 55 E2,2009,MHCNH55EY9J028620,M028620,1/20/2025,1/20/2025,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTV  8046,KTV- 8046,SEKRETARIAT DAERAH,PEMKAB PENAJAM PASER UTARA,F,MITSUBISHI,STRADA CR 2.8 A SC GLX 4X4 MT,2010,MMBENKB70BD013924,4M40UAC2025,1/28/2025,1/28/2026,SEKRETARIAT DAERAH,Pinjam Pakai,TIDAK AKTIF,PINJAM PAKAI
